JavaScript
CSS
HTML
Shell
Python
Ruby
'Java'
PHP
'C'
C++
Makefile
Objective-C
C#
Perl
Batchfile
Go
ApacheConf
CoffeeScript
CMake
Assembly
TypeScript
Swift
Scala
Lua
ASP
XSLT
PowerShell
TeX
Haskell
'R'
Groovy
Groff
Clojure
Arduino
Awk
Matlab
VimL
Objective-C++
QMake
Smarty
Emacs Lisp
Jupyter Notebook
M4
Rust
Puppet
Erlang
Dockerfile
Yacc
GLSL
Scilab
Lex
